date,SYN_A,SYN_B,SYN_C
2024-01-02,100.00,100.00,100.00
2024-01-03,100.40,99.80,100.10
2024-01-04,100.20,100.10,100.15
2024-01-05,100.80,100.25,100.05
2024-01-08,101.10,100.00,100.20
2024-01-09,100.70,100.40,100.25
2024-01-10,101.30,100.60,100.20
2024-01-11,101.60,100.35,100.35
2024-01-12,101.20,100.70,100.40
2024-01-15,101.80,100.90,100.30
2024-01-16,102.00,100.65,100.45
2024-01-17,101.70,101.00,100.50
2024-01-18,102.20,101.15,100.45
2024-01-19,102.50,100.95,100.60
2024-01-22,102.10,101.30,100.65
2024-01-23,102.70,101.45,100.55
2024-01-24,103.00,101.20,100.70
2024-01-25,102.60,101.55,100.75
2024-01-26,103.20,101.75,100.65
2024-01-29,103.50,101.50,100.80
